average;dim;empty;max;min;simulation_time
1561.16;100;0.0;4374;9;nan
1530.22;100;0.01;3975;98;nan
1647.76;100;0.02;4392;11;nan
1661.72;100;0.03;3718;0;nan
1317.64;100;0.04;3087;14;nan
1211.7;100;0.05;3006;11;nan
1590.78;100;0.06;4167;135;nan
1361.72;100;0.07;3318;55;nan
1425.18;100;0.08;3126;180;nan
1523.68;100;0.09;3892;136;nan
1457.36;100;0.1;3395;33;nan
1754.62;100;0.11;3570;333;nan
1396.86;100;0.12;3675;7;nan
1545.96;100;0.13;4061;43;nan
1381.28;100;0.14;4303;35;nan
1494.92;100;0.15;3387;9;nan
1741.44;100;0.16;8474;52;nan
1351.38;100;0.17;3919;11;nan
1609.76;100;0.18;3668;77;nan
1580.54;100;0.19;3993;212;nan
1570.4;100;0.2;3232;138;nan
1578.32;100;0.21;3619;57;nan
1506.32;100;0.22;3829;87;nan
1675.02;100;0.23;4000;92;nan
1820.68;100;0.24;3842;131;nan
1294.28;100;0.25;3398;92;nan
1830.76;100;0.26;3916;100;nan
1839.24;100;0.27;4002;201;nan
1973.28;100;0.28;7232;190;nan
1690.0;100;0.29;4292;160;nan
1873.4;100;0.3;7018;176;nan
2260.82;100;0.31;6935;277;nan
2253.72;100;0.32;6853;397;nan
2512.48;100;0.33;6719;705;nan
2240.8;100;0.34;6653;545;nan
2811.54;100;0.35;6541;861;nan
3609.54;100;0.36;6437;1633;nan
3788.46;100;0.37;6329;1856;nan
4678.06;100;0.38;6241;2638;nan
4371.72;100;0.39;6148;2565;nan
4971.82;100;0.4;6056;3308;nan
5047.04;100;0.41;5944;3748;nan
5118.46;100;0.42;5838;3740;nan
5342.68;100;0.43;5747;3989;nan
5213.12;100;0.44;5650;3972;nan
5259.56;100;0.45;5549;4315;nan
5270.76;100;0.46;5446;4427;nan
5212.36;100;0.47;5345;4671;nan
5140.16;100;0.48;5233;4706;nan
5041.5;100;0.49;5110;4743;nan
4960.2;100;0.5;5005;4756;nan
4850.4;100;0.51;4887;4719;nan
4740.8;100;0.52;4769;4628;nan
4626.24;100;0.53;4662;4524;nan
4550.9;100;0.54;4574;4470;nan
4457.82;100;0.55;4478;4367;nan
4368.32;100;0.56;4382;4328;nan
4254.66;100;0.57;4271;4223;nan
4155.96;100;0.58;4168;4123;nan
4063.88;100;0.59;4078;4024;nan
3963.92;100;0.6;3981;3938;nan
3859.36;100;0.61;3870;3825;nan
3760.58;100;0.62;3770;3737;nan
3660.48;100;0.63;3671;3617;nan
3566.06;100;0.64;3574;3550;nan
3469.1;100;0.65;3475;3459;nan
3367.84;100;0.66;3375;3349;nan
3256.9;100;0.67;3270;3229;nan
3129.64;100;0.68;3136;3113;nan
3014.08;100;0.69;3021;2996;nan
2910.26;100;0.7;2918;2900;nan
2816.88;100;0.71;2823;2800;nan
2713.04;100;0.72;2718;2699;nan
2609.84;100;0.73;2614;2603;nan
2498.84;100;0.74;2504;2492;nan
2404.58;100;0.75;2408;2398;nan
2314.94;100;0.76;2320;2303;nan
2214.08;100;0.77;2217;2209;nan
2121.82;100;0.78;2125;2116;nan
2018.42;100;0.79;2022;2011;nan
1910.22;100;0.8;1915;1904;nan
1829.12;100;0.81;1832;1823;nan
1712.82;100;0.82;1717;1707;nan
1619.66;100;0.83;1622;1615;nan
1525.92;100;0.84;1530;1518;nan
1418.32;100;0.85;1423;1412;nan
1322.1;100;0.86;1325;1318;nan
1226.04;100;0.87;1229;1216;nan
1153.3;100;0.88;1156;1148;nan
1069.56;100;0.89;1072;1066;nan
976.1;100;0.9;978;972;nan
867.74;100;0.91;870;864;nan
778.14;100;0.92;781;773;nan
677.4;100;0.93;680;675;nan
577.46;100;0.94;578;574;nan
492.58;100;0.95;494;491;nan
410.32;100;0.96;412;407;nan
296.6;100;0.97;297;295;nan
186.92;100;0.98;187;186;nan
92.98;100;0.99;93;92;nan
0.0;100;1.0;0;0;nan
