burned;dim;empty;finalTime;forest;simulations
7783;100;0.0;100;2148;"1_execution_dim_100_empty_0.0_"
8437;100;0.0;100;1486;"2_execution_dim_100_empty_0.0_"
7884;100;0.0;100;2025;"3_execution_dim_100_empty_0.0_"
7684;100;0.0;100;2221;"4_execution_dim_100_empty_0.0_"
9863;100;0.0;100;120;"5_execution_dim_100_empty_0.0_"
8944;100;0.0;100;997;"6_execution_dim_100_empty_0.0_"
5529;100;0.0;100;4374;"7_execution_dim_100_empty_0.0_"
9135;100;0.0;100;816;"8_execution_dim_100_empty_0.0_"
7504;100;0.0;100;2405;"9_execution_dim_100_empty_0.0_"
9984;100;0.0;100;9;"10_execution_dim_100_empty_0.0_"
9333;100;0.0;100;618;"11_execution_dim_100_empty_0.0_"
8631;100;0.0;100;1296;"12_execution_dim_100_empty_0.0_"
9349;100;0.0;100;610;"13_execution_dim_100_empty_0.0_"
6694;100;0.0;100;3215;"14_execution_dim_100_empty_0.0_"
8041;100;0.0;100;1874;"15_execution_dim_100_empty_0.0_"
9027;100;0.0;100;912;"16_execution_dim_100_empty_0.0_"
9009;100;0.0;100;946;"17_execution_dim_100_empty_0.0_"
8059;100;0.0;100;1864;"18_execution_dim_100_empty_0.0_"
9814;100;0.0;100;163;"19_execution_dim_100_empty_0.0_"
9459;100;0.0;100;496;"20_execution_dim_100_empty_0.0_"
9451;100;0.0;100;504;"21_execution_dim_100_empty_0.0_"
8050;100;0.0;100;1875;"22_execution_dim_100_empty_0.0_"
8538;100;0.0;100;1395;"23_execution_dim_100_empty_0.0_"
6290;100;0.0;100;3615;"24_execution_dim_100_empty_0.0_"
9514;100;0.0;100;443;"25_execution_dim_100_empty_0.0_"
9424;100;0.0;100;529;"26_execution_dim_100_empty_0.0_"
9199;100;0.0;100;756;"27_execution_dim_100_empty_0.0_"
7414;100;0.0;100;2499;"28_execution_dim_100_empty_0.0_"
8209;100;0.0;100;1726;"29_execution_dim_100_empty_0.0_"
8398;100;0.0;100;1523;"30_execution_dim_100_empty_0.0_"
8230;100;0.0;100;1711;"31_execution_dim_100_empty_0.0_"
6335;100;0.0;100;3576;"32_execution_dim_100_empty_0.0_"
6676;100;0.0;100;3241;"33_execution_dim_100_empty_0.0_"
7507;100;0.0;100;2412;"34_execution_dim_100_empty_0.0_"
7441;100;0.0;100;2486;"35_execution_dim_100_empty_0.0_"
8611;100;0.0;100;1316;"36_execution_dim_100_empty_0.0_"
9312;100;0.0;100;637;"37_execution_dim_100_empty_0.0_"
8625;100;0.0;100;1302;"38_execution_dim_100_empty_0.0_"
8369;100;0.0;100;1554;"39_execution_dim_100_empty_0.0_"
6136;100;0.0;100;3769;"40_execution_dim_100_empty_0.0_"
9384;100;0.0;100;573;"41_execution_dim_100_empty_0.0_"
